x,y
143.384,872.417
255.878,784.239
255.878,784.239
515.035,588.01
515.035,588.01
583.605,536.364
583.605,536.364
612.209,514.819
612.209,514.819
627.582,504.948
627.582,504.948
627.576,502.426
627.576,502.426
610.321,512.224
610.321,512.224
576.308,535.238
576.308,535.238
508.556,583.189
508.556,583.189
231.535,775.903
231.535,775.903
97.7607,871.969
1208.01,859.12
837.656,612.338
837.656,612.338
710.288,530.651
710.288,530.651
723.292,529.867
723.292,529.867
847.802,601.404
847.802,601.404
1267.28,848.895
688.6,516.765
708.78,529.674
708.78,529.674
721.631,528.949
721.631,528.949
688.484,512.091
696.556,515.962
698.454,514.748
698.454,514.748
700.005,514.189
700.005,514.189
709.433,511.867
709.433,511.867
728.182,509.166
728.182,509.166
739.76,507.987
739.76,507.987
745.993,508.37
745.993,508.37
728.668,510.606
728.668,510.606
710.772,513.88
710.772,513.88
702.674,515.828
702.674,515.828
701.334,517.238
701.334,517.238
701.074,518.352
0,0

